gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,difference
Baz1a,0.002058109,0.749353162,0.538,0.279,1,AMG4,0.259
Slc38a2,0.001256896,0.464466067,0.511,0.253,1,AMG3,0.258
Igf1,9.44E-18,1.32484756,0.273,0.015,2.40E-13,Macrophage,0.258
Trim30a,0.002175352,0.720088591,0.455,0.197,1,Macrophage,0.258
Stx16,0.000954695,0.946074829,0.615,0.358,1,AMG4,0.257
Nemf,0.001682473,0.659676466,0.462,0.205,1,AMG4,0.257
Hspa1a,1.11E-15,0.925136279,0.521,0.265,2.81E-11,AMG2,0.256
C2cd3,3.86E-07,0.675247768,0.362,0.106,0.009800262,AMG3,0.256
Rhoa,0.000420025,0.828964551,0.511,0.255,1,AMG3,0.256
Rsrc1,0.005610158,0.334435527,0.617,0.361,1,AMG3,0.256
Pxk,0.002853554,0.769946512,0.462,0.206,1,AMG4,0.256
Aim2,0.009182917,0.57324613,0.654,0.398,1,AMG4,0.256
Hivep3,4.06E-10,0.422427561,0.719,0.463,1.03E-05,AMG1,0.256
Atrx,0.0071059,0.449391244,0.681,0.426,1,AMG3,0.255
Pcna,4.53E-22,0.956671504,0.277,0.022,1.15E-17,AMG3,0.255
Hnrnpf,0.000258272,0.495886942,0.447,0.192,1,AMG3,0.255
Mcm10,5.20E-61,1.010448092,0.255,0.001,1.32E-56,AMG3,0.254
Fbxo42,6.23E-06,0.597983947,0.383,0.13,0.158500166,AMG3,0.253
Foxp1,0.001536132,0.749156716,0.773,0.52,1,Macrophage,0.253
Dmxl1,0.00432452,0.782884079,0.591,0.338,1,Macrophage,0.253
Fryl,0.003513866,0.382328271,0.553,0.301,1,AMG3,0.252
Ccl12,7.54E-08,1.84331308,0.308,0.056,0.001915723,AMG4,0.252
Nkain2,0.009567092,0.650542305,0.615,0.363,1,AMG4,0.252
Stil,8.74E-46,1.097421167,0.255,0.004,2.22E-41,AMG3,0.251
Utrn,8.12E-06,0.55086416,0.383,0.132,0.206496038,AMG3,0.251
Polk,1.28E-05,0.553001625,0.383,0.132,0.326225539,AMG3,0.251
Slc24a3,0.00755501,0.385016887,0.745,0.494,1,AMG3,0.251
Crebrf,0.002003289,0.985095694,0.5,0.249,1,Macrophage,0.251
Prpf40a,0.003794874,0.381872752,0.553,0.303,1,AMG3,0.25
Grb2,0.005601867,0.356679877,0.66,0.41,1,AMG3,0.25
Mki67,3.80E-43,1.158451246,0.255,0.005,9.67E-39,AMG3,0.25
Tipin,8.22E-19,1.074273765,0.277,0.027,2.09E-14,AMG3,0.25
Cenpc1,6.53E-08,0.773937666,0.34,0.09,0.00165942,AMG3,0.25
Wdpcp,5.91E-06,0.672635769,0.383,0.133,0.150250485,AMG3,0.25
Phtf2,7.98E-05,0.401005253,0.404,0.154,1,AMG3,0.25
Acaca,0.000121207,0.541471251,0.426,0.176,1,AMG3,0.25
Tnfrsf11a,0.003233772,0.762233162,0.5,0.25,1,Macrophage,0.25
Lhfpl2,0.005718033,0.441881967,0.681,0.432,1,AMG3,0.249
Naa15,0.008217801,0.595598836,0.462,0.213,1,AMG4,0.249
Kif20b,1.45E-40,1.162300686,0.255,0.006,3.69E-36,AMG3,0.249
Cep192,1.24E-05,0.597397315,0.383,0.134,0.315859358,AMG3,0.249
Nfia,0.008461995,0.25744594,0.915,0.666,1,AMG3,0.249
Sh3bgrl3,0.00019822,1.074449866,0.364,0.115,1,Macrophage,0.249
Dna2,2.19E-17,0.790467621,0.277,0.029,5.57E-13,AMG3,0.248
Gm4951,2.40E-15,1.56264884,0.269,0.021,6.09E-11,AMG4,0.248
Psmd1,0.001821119,0.831327967,0.462,0.214,1,AMG4,0.248
Prc1,1.43E-38,1.28868865,0.255,0.007,3.64E-34,AMG3,0.248
Prim1,2.09E-38,0.994376291,0.255,0.007,5.32E-34,AMG3,0.248
Cpd,0.000103803,0.611236124,0.426,0.178,1,AMG3,0.248
Ppard,0.003195585,0.310678386,0.489,0.241,1,AMG3,0.248
Pvt1,0.001015147,0.513012685,0.702,0.454,1,AMG3,0.248
Ehd4,0.002532233,0.945599434,0.545,0.298,1,Macrophage,0.247
Ube2g1,0.000181289,0.703575958,0.468,0.221,1,AMG3,0.247
Iffo1,0.001326843,0.374544161,0.468,0.221,1,AMG3,0.247
4930599N23Rik,0.000221213,1.1483076,0.385,0.138,1,AMG4,0.247
Dnajc13,0.00528749,0.851351178,0.577,0.33,1,AMG4,0.247
Ddx50,0.003690887,0.43205115,0.532,0.286,1,AMG3,0.246
Susd6,0.007187465,0.459803469,0.617,0.371,1,AMG3,0.246
Brd4,0.008422862,0.329929995,0.617,0.371,1,AMG3,0.246
E330020D12Rik,0.004407365,0.471692423,0.681,0.436,1,AMG3,0.245
Ppip5k1,3.25E-07,0.694401151,0.34,0.095,0.008265631,AMG3,0.245
Agap1,1.96E-05,0.689616051,0.404,0.159,0.498593372,AMG3,0.245
Matr3,9.54E-05,0.514368559,0.404,0.159,1,AMG3,0.245
Ccdc57,2.16E-11,0.971868331,0.298,0.053,5.50E-07,AMG3,0.245
Dgcr8,1.12E-08,0.830105981,0.319,0.074,0.000284825,AMG3,0.245
Stag1,2.13E-06,0.782766548,0.872,0.627,0.05422145,AMG3,0.245
St3gal3,0.000412543,0.653761583,0.511,0.266,1,AMG3,0.245
Tal1,0.000774632,0.583407075,0.511,0.266,1,AMG3,0.245
Faf1,0.00728223,0.381698566,0.617,0.372,1,AMG3,0.245
Ptpn2,0.000743512,0.68534609,0.385,0.14,1,AMG4,0.245
E2f2,4.08E-30,0.97856339,0.255,0.011,1.04E-25,AMG3,0.244
Lig1,4.89E-30,0.879186924,0.255,0.011,1.24E-25,AMG3,0.244
Rbm28,0.008708133,0.418155281,0.532,0.289,1,AMG3,0.243
Naa16,0.000496444,0.49594156,0.447,0.204,1,AMG3,0.243
Ccnh,0.004742934,0.679659215,0.455,0.212,1,Macrophage,0.243
Zc3h12c,4.41E-06,0.651320827,0.362,0.119,0.112151309,AMG3,0.243
Ylpm1,0.002384349,0.312985608,0.489,0.246,1,AMG3,0.243
Fcgr2b,0.000424807,1.391030221,0.409,0.166,1,Macrophage,0.243
Itgb3bp,3.76E-07,0.774613684,0.34,0.098,0.009558148,AMG3,0.242
Col4a3bp,0.000788153,0.460650603,0.468,0.226,1,AMG3,0.242
Nt5c2,0.001439729,0.375143794,0.468,0.226,1,AMG3,0.242
Nasp,1.02E-10,0.946376189,0.298,0.056,2.58E-06,AMG3,0.242
Cbfa2t2,0.000167586,0.559794727,0.426,0.184,1,AMG3,0.242
Man2a1,0.000196325,0.644383145,0.426,0.184,1,AMG3,0.242
Trak1,0.001549664,0.463688533,0.511,0.269,1,AMG3,0.242
Nav1,0.001977778,0.927624551,0.409,0.167,1,Macrophage,0.242
Aak1,0.007672747,0.363650934,0.574,0.332,1,AMG3,0.242
Snhg14,0.002617377,0.839995914,0.455,0.214,1,Macrophage,0.241
Mdc1,1.71E-10,0.854013017,0.298,0.057,4.34E-06,AMG3,0.241
R3hdm1,0.00234947,0.445337635,0.745,0.504,1,AMG3,0.241
Chm,0.003011132,0.710356833,0.423,0.182,1,AMG4,0.241
Eif4a2,0.002082111,1.078167117,0.5,0.259,1,Macrophage,0.241
Micu1,6.33E-05,0.595813209,0.404,0.164,1,AMG3,0.24
Klhl6,0.000371782,0.730435856,0.447,0.207,1,AMG3,0.24
Ano6,0.001181241,0.393084929,0.447,0.207,1,AMG3,0.24
Atp10a,3.45E-10,0.93704755,0.298,0.058,8.77E-06,AMG3,0.24
Nup93,7.58E-08,0.602399191,0.319,0.079,0.001928089,AMG3,0.24
Mgat5,0.000557826,0.568221579,0.787,0.547,1,AMG3,0.24
Epsti1,0.002486297,0.888589303,0.409,0.169,1,Macrophage,0.24
Hdac4,0.000216296,0.439519197,0.404,0.165,1,AMG3,0.239
Mms19,0.000815781,0.489476401,0.468,0.229,1,AMG3,0.239
Sh3pxd2b,5.60E-09,1.10771977,0.273,0.034,0.000142461,Macrophage,0.239
Ube2k,0.006505387,0.408971456,0.638,0.399,1,AMG3,0.239
Atf7ip,0.007919746,0.373340432,0.617,0.378,1,AMG3,0.239
Rad51b,0.00030417,1.502834547,0.364,0.125,1,Macrophage,0.239
Lcorl,0.003955852,0.650750737,0.574,0.335,1,AMG3,0.239
Xpo4,1.49E-06,0.65782625,0.34,0.102,0.037946452,AMG3,0.238
Phkb,0.008119896,0.67924696,0.545,0.307,1,Macrophage,0.238
Skp2,3.05E-13,0.811625896,0.277,0.039,7.75E-09,AMG3,0.238
H2afv,6.74E-13,0.70778205,0.277,0.039,1.71E-08,AMG3,0.238
Ctcf,9.51E-05,0.584044988,0.383,0.146,1,AMG3,0.237
Bdp1,0.000178336,0.51754391,0.404,0.167,1,AMG3,0.237
Ptpn11,0.000184829,0.774981655,0.346,0.109,1,AMG4,0.237
Fam214a,3.03E-05,1.210841606,0.318,0.081,0.769055229,Macrophage,0.237
Nrxn1,0.000920232,0.76717201,0.864,0.627,1,Macrophage,0.237
Fnip2,0.007535658,0.751299414,0.5,0.263,1,Macrophage,0.237
Atad5,3.16E-21,0.855530866,0.255,0.019,8.04E-17,AMG3,0.236
Gtf2a2,9.41E-06,0.717582271,0.362,0.126,0.239113276,AMG3,0.236
Kif13a,0.000392419,0.53385493,0.426,0.19,1,AMG3,0.236
Thrap3,0.003007986,0.620709936,0.511,0.275,1,AMG3,0.236
Bst2,8.23E-10,1.260385465,0.269,0.034,2.09E-05,AMG4,0.235
Pdia6,0.003594418,0.788878559,0.455,0.22,1,Macrophage,0.235
Hspa1b,1.04E-13,0.893423799,0.5,0.265,2.65E-09,AMG2,0.235
Tor1aip2,0.006999131,0.472701059,0.423,0.188,1,AMG4,0.235
Pik3ap1,0.005878308,0.985076406,0.654,0.42,1,AMG4,0.234
Bcor,0.000666739,0.531289418,0.447,0.213,1,AMG3,0.234
Dtymk,5.88E-09,0.677789125,0.298,0.064,0.000149571,AMG3,0.234
Msn,0.003825387,0.405465086,0.511,0.277,1,AMG3,0.234
Haus3,1.07E-11,0.78388285,0.277,0.044,2.73E-07,AMG3,0.233
Bank1,0.002781976,1.190439852,0.455,0.222,1,Macrophage,0.233
Samhd1,0.000585285,1.184314801,0.364,0.131,1,Macrophage,0.233
Lpgat1,0.001791581,0.435755742,0.447,0.215,1,AMG3,0.232
Lpp,2.10E-10,0.476272692,0.576,0.344,5.33E-06,AMG1,0.232
Nrp2,0.000896902,0.389702277,0.426,0.194,1,AMG3,0.232
Dnajb14,0.001254973,1.174918152,0.409,0.177,1,Macrophage,0.232
Pbx3,0.002738556,1.046799945,0.545,0.314,1,Macrophage,0.231
Dock11,0.009414813,0.683383051,0.545,0.314,1,Macrophage,0.231
Rangap1,9.50E-07,0.582336237,0.319,0.088,0.024161378,AMG3,0.231
Wdr43,0.000202831,0.398302396,0.383,0.152,1,AMG3,0.231
Ubn1,0.002332141,0.34432224,0.447,0.216,1,AMG3,0.231
Ncaph2,9.69E-09,0.786496887,0.298,0.067,0.000246277,AMG3,0.231
Rpl4,2.20E-05,0.860721533,0.308,0.077,0.559792589,AMG4,0.231
Gatm,0.000378898,0.775125588,0.346,0.115,1,AMG4,0.231
Nek6,0.000261377,0.533608064,0.404,0.174,1,AMG3,0.23
Arhgef2,0.000272326,0.538758463,0.404,0.174,1,AMG3,0.23
Cisd2,0.007484276,0.73877625,0.462,0.232,1,AMG4,0.23
Gm15398,0.000139265,1.152816479,0.318,0.088,1,Macrophage,0.23
Fgd4,0.00306906,1.144152489,0.455,0.225,1,Macrophage,0.23
St5,4.63E-05,0.535099184,0.362,0.132,1,AMG3,0.23
Suz12,0.001284516,0.385249489,0.426,0.196,1,AMG3,0.23
Tdrd7,3.27E-05,0.802327052,0.308,0.078,0.83076806,AMG4,0.23
Casp4,0.000300098,0.943850391,0.346,0.116,1,AMG4,0.23
Smarca4,0.000734455,0.420501077,0.404,0.175,1,AMG3,0.229
Zwilch,2.06E-38,1.038554223,0.234,0.005,5.23E-34,AMG3,0.229
Slfn2,2.23E-08,1.19754992,0.269,0.04,0.000566979,AMG4,0.229
Ms4a6d,0.000103131,1.679534825,0.318,0.089,1,Macrophage,0.229
Arhgap24,0.005465456,0.541299993,0.596,0.367,1,AMG3,0.229
Cdk5rap2,9.03E-11,0.803260889,0.277,0.049,2.29E-06,AMG3,0.228
Raph1,1.06E-05,0.686847348,0.34,0.112,0.268371729,AMG3,0.228
Gstcd,1.28E-05,0.712280784,0.34,0.112,0.325240833,AMG3,0.228
Fhl2,9.36E-07,1.100909581,0.273,0.045,0.023793329,Macrophage,0.228
Cenpk,3.35E-36,0.9666331,0.234,0.006,8.51E-32,AMG3,0.228
Mis18bp1,3.71E-36,0.951674692,0.234,0.006,9.44E-32,AMG3,0.228
Polq,4.68E-36,0.932481405,0.234,0.006,1.19E-31,AMG3,0.228
Incenp,3.54E-16,0.878172387,0.255,0.027,9.00E-12,AMG3,0.228
Mau2,0.000597096,0.260875319,0.383,0.155,1,AMG3,0.228
Oas1a,1.94E-36,1.3918397,0.231,0.003,4.93E-32,AMG4,0.228
Pcnp,0.00181662,0.353034535,0.426,0.198,1,AMG3,0.228
Acer3,0.002665415,0.770152822,0.769,0.541,1,AMG4,0.228
Ext1,0.006763731,0.729169148,0.731,0.503,1,AMG4,0.228
Slc16a10,0.002378025,1.03764139,0.409,0.181,1,Macrophage,0.228
Sp100,8.95E-07,1.096481668,0.273,0.046,0.022745328,Macrophage,0.227
Fer,0.008113585,0.643993978,0.545,0.318,1,Macrophage,0.227
Acbd6,0.000416796,0.395467685,0.383,0.156,1,AMG3,0.227
Srsf2,0.006346985,0.253423003,0.447,0.22,1,AMG3,0.227
Oasl2,7.18E-33,1.105317575,0.231,0.004,1.83E-28,AMG4,0.227
Irf7,8.49E-33,0.946715754,0.231,0.004,2.16E-28,AMG4,0.227
Pnpt1,4.10E-05,0.919784342,0.308,0.081,1,AMG4,0.227
Ccnb1ip1,3.25E-05,1.156846491,0.383,0.157,0.82507489,AMG3,0.226
Znrf3,0.000254083,0.503934548,0.383,0.157,1,AMG3,0.226
Mau2,0.002744098,0.63858184,0.385,0.159,1,AMG4,0.226
Ndufc2,0.003038302,0.779223806,0.385,0.159,1,AMG4,0.226
Phtf2,0.007132641,0.38645888,0.385,0.159,1,AMG4,0.226
1700025G04Rik,7.86E-08,0.695831743,0.298,0.072,0.001998811,AMG3,0.226
Nsun6,0.000100074,0.480159986,0.362,0.136,1,AMG3,0.226
Ifi35,1.46E-07,0.901035804,0.269,0.044,0.00370621,AMG4,0.225
Pole2,3.50E-15,0.990411693,0.255,0.03,8.89E-11,AMG3,0.225
Nup153,0.006422105,0.445688093,0.385,0.16,1,AMG4,0.225
Txnl1,0.000200282,1.058955773,0.318,0.093,1,Macrophage,0.225
Rmdn1,0.008020261,0.76051925,0.455,0.23,1,Macrophage,0.225
Arid5b,0.005926899,0.387910829,0.617,0.392,1,AMG3,0.225
Cep152,2.49E-05,0.521429491,0.34,0.116,0.632405274,AMG3,0.224
Myo1e,0.002557549,0.591102811,0.553,0.329,1,AMG3,0.224
Peli2,0.00305085,0.536776512,0.511,0.287,1,AMG3,0.224
Fnip1,0.00550345,0.346324653,0.681,0.457,1,AMG3,0.224
Tent4a,7.71E-08,1.190704102,0.269,0.045,0.00196041,AMG4,0.224
Smc1a,0.000346287,0.459266248,0.383,0.159,1,AMG3,0.224
Mcu,0.000545438,0.384554249,0.383,0.16,1,AMG3,0.223
Clic1,0.000644817,0.374262533,0.383,0.16,1,AMG3,0.223
Aoah,4.27E-30,1.684859205,0.227,0.004,1.08E-25,Macrophage,0.223
Zfp704,6.15E-05,0.631613493,0.362,0.139,1,AMG3,0.223
Piezo1,0.000269354,0.323908299,0.362,0.139,1,AMG3,0.223
Gm16599,0.000770975,0.6369802,0.723,0.5,1,AMG3,0.223
Mad1l1,4.08E-05,0.461897183,0.34,0.118,1,AMG3,0.222
Ifrd1,0.00104743,0.441050987,0.404,0.182,1,AMG3,0.222
Cpq,5.32E-06,1.163345818,0.273,0.051,0.13519098,Macrophage,0.222
Orc2,5.52E-06,0.573181897,0.319,0.097,0.140435657,AMG3,0.222
Atrnl1,0.002655218,0.364479506,0.447,0.225,1,AMG3,0.222
Adam33,3.08E-27,1.267954468,0.227,0.005,7.83E-23,Macrophage,0.222
Ppp6r3,0.008118651,0.319276169,0.489,0.267,1,AMG3,0.222
Scaf11,0.004274805,0.366688457,0.468,0.247,1,AMG3,0.221
Tial1,0.006917491,0.386891283,0.511,0.29,1,AMG3,0.221
Xrn2,0.009155459,0.303241864,0.532,0.311,1,AMG3,0.221
Ythdf2,0.000734937,0.385610227,0.383,0.162,1,AMG3,0.221
Kcnip3,0.003694811,0.757091061,0.364,0.143,1,Macrophage,0.221
Hip1,0.008795266,0.919095592,0.455,0.234,1,Macrophage,0.221
Dram2,0.00363351,0.859159067,0.409,0.188,1,Macrophage,0.221
Emsy,0.000538008,0.430584668,0.383,0.163,1,AMG3,0.22
4930469K13Rik,0.004535895,0.624836015,0.385,0.165,1,AMG4,0.22
Nfxl1,0.00258007,0.96076389,0.364,0.144,1,Macrophage,0.22
Cadm1,0.002437091,0.518186683,0.787,0.568,1,AMG3,0.219
Angpt2,2.58E-08,0.528150207,0.277,0.058,0.000656312,AMG3,0.219
Tm9sf4,0.0002039,0.492104351,0.362,0.143,1,AMG3,0.219
Ftx,0.001019597,0.299981205,0.383,0.164,1,AMG3,0.219
Napg,0.001300361,0.294154955,0.383,0.164,1,AMG3,0.219
1600010M07Rik,0.001880357,0.438804612,0.426,0.207,1,AMG3,0.219
Ccser2,0.000314808,0.613166855,0.308,0.089,1,AMG4,0.219
Arpc2,0.003766893,0.978050914,0.617,0.398,1,AMG3,0.219
Cfh,7.35E-05,0.926078919,0.909,0.691,1,Macrophage,0.218
Mcm6,1.87E-21,1.095534321,0.234,0.016,4.76E-17,AMG3,0.218
Scmh1,0.003400849,0.600358905,0.511,0.293,1,AMG3,0.218
Pml,9.07E-07,1.048522757,0.269,0.051,0.023055131,AMG4,0.218
Axl,1.13E-16,0.855242987,0.231,0.013,2.87E-12,AMG4,0.218
Chka,0.006001703,0.912972961,0.409,0.191,1,Macrophage,0.218
Slc9a9,9.92E-08,1.486807002,0.909,0.692,0.002522047,Macrophage,0.217
Bora,1.21E-20,1.119548107,0.234,0.017,3.06E-16,AMG3,0.217
Hells,5.79E-20,1.105759611,0.234,0.017,1.47E-15,AMG3,0.217
Chka,0.002025202,0.572528795,0.404,0.187,1,AMG3,0.217
Rspry1,0.002224111,0.317333931,0.404,0.187,1,AMG3,0.217
BC005537,0.001966277,1.103461993,0.5,0.283,1,Macrophage,0.217
Rap2a,0.000236887,0.58295475,0.362,0.145,1,AMG3,0.217
Tet2,1.97E-09,0.336597188,0.461,0.245,5.01E-05,AMG1,0.216
Hacd2,0.000564025,0.451495725,0.383,0.167,1,AMG3,0.216
Efr3a,0.001324281,0.309933334,0.383,0.167,1,AMG3,0.216
Rassf3,0.004147291,0.449790735,0.447,0.231,1,AMG3,0.216
Hs6st1,0.000199892,0.855414963,0.308,0.092,1,AMG4,0.216
Nme1,0.002544056,0.905172156,0.364,0.148,1,Macrophage,0.216
Wrn,4.29E-05,0.678969428,0.34,0.125,1,AMG3,0.215
Ascc3,0.00298274,1.064773279,0.654,0.439,1,AMG4,0.215
Zfp992,2.07E-05,1.001091449,0.273,0.058,0.527373569,Macrophage,0.215
Haus6,4.38E-11,0.717261762,0.255,0.04,1.11E-06,AMG3,0.215
Ctif,0.000418183,0.455615072,0.362,0.147,1,AMG3,0.215
Pkp4,0.000419171,0.553553804,0.383,0.168,1,AMG3,0.215
Trappc10,0.000478642,0.399961389,0.362,0.147,1,AMG3,0.215
Enox1,0.003517222,0.515129312,0.346,0.131,1,AMG4,0.215
Larp4b,0.006675869,0.493158114,0.553,0.339,1,AMG3,0.214
Sptlc2,0.008146519,0.394427928,0.511,0.297,1,AMG3,0.214
Slc14a1,8.51E-15,1.255664448,0.227,0.013,2.16E-10,Macrophage,0.214
Oip5os1,0.002696112,0.442021281,0.404,0.191,1,AMG3,0.213
Cdca2,2.09E-55,1.357969685,0.213,0,5.30E-51,AMG3,0.213
Klhdc10,0.00140232,0.528399333,0.426,0.213,1,AMG3,0.213
Fnbp1,1.16E-06,0.306382152,0.615,0.402,0.029557405,AMG1,0.213
Cadm1,2.62E-06,0.341655682,0.708,0.495,0.066638544,AMG1,0.213
Hsph1,3.10E-13,0.984510532,0.507,0.295,7.87E-09,AMG2,0.212
Itga4,7.70E-13,1.13700113,0.227,0.015,1.96E-08,Macrophage,0.212
Uhrf1,3.85E-50,1.021525502,0.213,0.001,9.78E-46,AMG3,0.212
Mthfd1l,0.000439129,0.528448296,0.362,0.15,1,AMG3,0.212
Gsdme,0.000481967,0.459557284,0.362,0.15,1,AMG3,0.212
Timmdc1,0.000833339,0.411544286,0.362,0.15,1,AMG3,0.212
Ogdh,0.001255039,0.606057112,0.426,0.214,1,AMG3,0.212
Ttyh1,0.000333188,1.006416961,0.308,0.096,1,AMG4,0.212
Fto,0.002343927,0.862175119,0.577,0.365,1,AMG4,0.212
Kctd9,7.72E-16,0.643634887,0.234,0.023,1.96E-11,AMG3,0.211
Uchl5,0.000108189,0.568936383,0.34,0.129,1,AMG3,0.211
Ubr1,0.003418602,0.326892338,0.404,0.193,1,AMG3,0.211
Sgo1,8.77E-46,0.901158187,0.213,0.002,2.23E-41,AMG3,0.211
Znfx1,0.000368685,1.039747565,0.308,0.097,1,AMG4,0.211
Ppip5k2,0.003949015,0.616410118,0.346,0.135,1,AMG4,0.211
Pola2,2.19E-15,0.988196639,0.234,0.024,5.57E-11,AMG3,0.21
Ell2,0.000211455,0.480850212,0.34,0.13,1,AMG3,0.21
Smg7,0.001268516,0.429800818,0.383,0.173,1,AMG3,0.21
Sfswap,0.002774211,0.277326748,0.383,0.173,1,AMG3,0.21
Tpd52,0.004168045,0.459668119,0.617,0.407,1,AMG3,0.21
Fggy,0.001316589,0.869430932,0.318,0.108,1,Macrophage,0.21
Ndc80,6.21E-39,0.907851993,0.213,0.003,1.58E-34,AMG3,0.21
Tmem245,0.004106339,0.348851749,0.426,0.216,1,AMG3,0.21
Pdzrn3,0.004065784,0.854161457,0.364,0.154,1,Macrophage,0.21
Pi4ka,0.001161774,0.678248277,0.447,0.238,1,AMG3,0.209
Topors,1.75E-05,0.841968457,0.269,0.06,0.445208313,AMG4,0.209
Rnf111,0.008070855,0.72258994,0.538,0.329,1,AMG4,0.209
Fanci,4.17E-36,0.888930103,0.213,0.004,1.06E-31,AMG3,0.209
Bard1,4.67E-36,0.663260511,0.213,0.004,1.19E-31,AMG3,0.209
Pam,0.003760133,1.010201267,0.364,0.155,1,Macrophage,0.209
Fam76b,0.004179438,0.953480081,0.364,0.155,1,Macrophage,0.209
Miip,8.11E-14,0.616934533,0.234,0.026,2.06E-09,AMG3,0.208
Phf11d,1.68E-10,1.001215667,0.231,0.023,4.28E-06,AMG4,0.208
Birc3,0.002367562,0.899574668,0.385,0.177,1,AMG4,0.208
Atg7,0.001414862,1.031340222,0.318,0.11,1,Macrophage,0.208
Ect2,7.31E-34,1.117639585,0.213,0.005,1.86E-29,AMG3,0.208
Ecm2,1.27E-33,0.686928612,0.213,0.005,3.23E-29,AMG3,0.208
Gon4l,0.006376742,0.299548843,0.426,0.218,1,AMG3,0.208
Tcf4,0.000215108,0.870234384,0.955,0.747,1,Macrophage,0.208
Plk4,9.73E-14,1.022038199,0.234,0.027,2.47E-09,AMG3,0.207
Nudt5,0.000282898,0.429450465,0.34,0.133,1,AMG3,0.207
Gm44148,2.89E-05,0.875905014,0.269,0.062,0.734651782,AMG4,0.207
Rab43,0.005599163,0.800765654,0.385,0.178,1,AMG4,0.207
Pole,1.12E-31,1.301153866,0.213,0.006,2.85E-27,AMG3,0.207
Ckap2l,1.62E-31,0.78283141,0.213,0.006,4.13E-27,AMG3,0.207
Elmo2,8.44E-06,0.658820144,0.298,0.091,0.21462787,AMG3,0.207
Liph,1.59E-05,0.474725659,0.298,0.091,0.405218284,AMG3,0.207
Ddx43,4.14E-09,0.824380212,0.255,0.049,0.000105181,AMG3,0.206
Msh3,1.18E-06,0.571038681,0.277,0.071,0.030070372,AMG3,0.206
Zbtb11,0.001644675,0.566165719,0.383,0.177,1,AMG3,0.206
Aatf,0.002711041,0.499614851,0.404,0.198,1,AMG3,0.206
Rabl6,0.005159474,0.307923175,0.404,0.198,1,AMG3,0.206
Pkn2,0.008208158,0.500663933,0.511,0.305,1,AMG3,0.206
Slfn8,3.14E-05,0.941080092,0.269,0.063,0.797629824,AMG4,0.206
Parp9,0.000713267,0.883302441,0.308,0.102,1,AMG4,0.206
Fnbp4,0.008891071,0.760389566,0.423,0.217,1,AMG4,0.206
Ptprm,8.59E-08,0.354133662,0.576,0.37,0.002184656,AMG1,0.206
Cfdp1,0.000312582,0.490196933,0.34,0.135,1,AMG3,0.205
Odf2,0.003399876,0.379164579,0.404,0.199,1,AMG3,0.205
Setdb2,1.40E-09,1.071237602,0.231,0.026,3.56E-05,AMG4,0.205
Ik,0.001012696,0.690247319,0.308,0.103,1,AMG4,0.205
Mtch2,0.001138807,0.672657493,0.308,0.103,1,AMG4,0.205
Atp1b1,0.005955395,0.688382031,0.654,0.449,1,AMG4,0.205
Hck,0.008800153,0.793294558,0.5,0.295,1,AMG4,0.205
Fgd6,1.33E-09,1.172568996,0.227,0.022,3.39E-05,Macrophage,0.205
Tlr4,0.001245595,1.382079672,0.318,0.113,1,Macrophage,0.205
2610203C22Rik,0.006227653,0.805803008,0.5,0.295,1,Macrophage,0.205
Anks1b,0.008441673,0.822906389,0.545,0.34,1,Macrophage,0.205
Supt16,0.001099299,0.368298645,0.362,0.157,1,AMG3,0.205
Cblb,0.005470912,1.110525689,0.364,0.159,1,Macrophage,0.205
Exosc8,1.68E-08,0.614818646,0.255,0.051,0.000427117,AMG3,0.204
Tmem184b,0.00031396,0.527413673,0.34,0.136,1,AMG3,0.204
Pigu,0.000418909,0.43947074,0.34,0.136,1,AMG3,0.204
Zfp451,0.003940589,0.305797498,0.383,0.179,1,AMG3,0.204
Anln,6.22E-27,1.024274007,0.213,0.009,1.58E-22,AMG3,0.204
Tcerg1,0.001572111,0.353454251,0.362,0.158,1,AMG3,0.204
Itpr2,3.47E-06,0.276496527,0.613,0.41,0.088176336,AMG1,0.203
Csf2ra,0.004547094,0.266097373,0.383,0.18,1,AMG3,0.203
Utp3,8.54E-05,0.709527702,0.269,0.066,1,AMG4,0.203
Rnf114,0.001188219,0.708245178,0.308,0.105,1,AMG4,0.203
Kif18a,3.58E-25,0.967779992,0.213,0.01,9.10E-21,AMG3,0.203
Naa35,0.007256789,0.262904854,0.404,0.202,1,AMG3,0.202
Cpd,0.005106089,0.772997859,0.385,0.183,1,AMG4,0.202
Slc43a3,9.08E-23,0.791628214,0.213,0.011,2.31E-18,AMG3,0.202
Ccdc18,1.28E-22,0.701011642,0.213,0.011,3.25E-18,AMG3,0.202
Gatad2a,0.001190371,0.413244169,0.362,0.16,1,AMG3,0.202
Tubb5,0.005775184,0.59020338,0.346,0.144,1,AMG4,0.202
Txnip,0.004108542,1.122932751,0.364,0.162,1,Macrophage,0.202
Rgl1,0.006001573,1.137656567,0.409,0.207,1,Macrophage,0.202
Etv6,0.00014225,0.555003377,0.872,0.67,1,AMG3,0.202
Kif22,1.66E-11,0.771471294,0.234,0.033,4.22E-07,AMG3,0.201
Haus4,1.53E-21,0.796675905,0.213,0.012,3.89E-17,AMG3,0.201
Ints3,6.55E-05,0.386493328,0.298,0.097,1,AMG3,0.201
Kcnk13,9.55E-08,0.356766337,0.491,0.291,0.002426776,AMG1,0.2
